ccf_icon_file,source,final_lucide_match,confidence,confidence_manually_set,icon_manually_picked,note
ccf-add-channel-icon,wrapper,image-plus,MEDIUM,no,no,
ccf-add-event-icon,wrapper,calendar-plus-2,HIGH,yes,no,
ccf-add-note-icon,wrapper,sticky-note,MEDIUM,no,no,
ccf-address-book-icon,wrapper,book-up,MEDIUM,no,no,
ccf-agent-assist-icon,wrapper,handshake,LOW,no,no,
ccf-agent-chat-icon,wrapper,message-square-text,HIGH,yes,yes,
ccf-agent-chat-search-icon,wrapper,search,HIGH,yes,no,
ccf-agent-chat-standalone-icon,wrapper,message-square-text,HIGH,yes,no,
ccf-agent-copilot-icon,wrapper,dot,CUSTOM,yes,no,
ccf-agent-icon,wrapper,headset,HIGH,yes,yes,
ccf-agent-leg-connected-icon,wrapper,link-2,MEDIUM,no,yes,
ccf-agent-leg-dialing-icon,wrapper,link-2,MEDIUM,yes,yes,
ccf-agent-leg-disconnected-icon,wrapper,disc-2,MEDIUM,no,no,
ccf-alert-info-icon,wrapper,alert-circle,HIGH,yes,yes,
ccf-align-center-icon,wrapper,align-center,HIGH,no,yes,
ccf-align-left-icon,wrapper,align-left,HIGH,no,no,
ccf-align-right-icon,wrapper,align-right,HIGH,no,no,
ccf-app-health-icon,wrapper,app-window,MEDIUM,no,no,
ccf-approved-icon,wrapper,check,HIGH,yes,no,
ccf-assignement-box-icon,wrapper,inbox,HIGH,yes,yes,
ccf-assignment-collapse-icon,wrapper,chevron-left,HIGH,yes,yes,
ccf-attachment-preview-icon,wrapper,eye,HIGH,no,no,
ccf-audio-alert-icon,wrapper,alert-circle,HIGH,yes,yes,
ccf-audio-pause-icon,wrapper,pause-circle,HIGH,yes,yes,
ccf-audio-play-icon,wrapper,play,HIGH,yes,yes,
ccf-audio-warning-icon,wrapper,triangle-alert,HIGH,yes,yes,
ccf-authenticated-voice-icon,wrapper,audio-lines,HIGH,yes,no,
ccf-available-icon,wrapper,check-circle-2,HIGH,yes,yes,
ccf-back-ground-color-icon,wrapper,baseline,MEDIUM,no,no,
ccf-back-icon,wrapper,chevron-left,HIGH,no,no,
ccf-bad-number-icon,wrapper,frown,MEDIUM,no,no,
ccf-brightness-icon,wrapper,blend,MEDIUM,no,no,
ccf-calendar-icon,wrapper,calendar,HIGH,no,no,
ccf-call-commit-icon,wrapper,calendar-plus-2,HIGH,yes,yes,
ccf-call-conference-icon,wrapper,phone-call,MEDIUM,no,no,
ccf-call-consult-icon,wrapper,user-round-plus,HIGH,yes,yes,
ccf-call-hold-icon,wrapper,pause,HIGH,yes,yes,
ccf-call-hung-up-icon,wrapper,phone-off,HIGH,yes,yes,
ccf-call-keypad-icon,wrapper,grip,HIGH,yes,yes,
ccf-call-mask-icon,wrapper,audio-lines,CUSTOM,yes,yes,
ccf-call-merge-icon,wrapper,merge,HIGH,yes,no,
ccf-call-mute-icon,wrapper,mic,HIGH,yes,yes,
ccf-call-record-icon,wrapper,disc-2,MEDIUM,no,no,
ccf-call-recording-icon,wrapper,phone-call,MEDIUM,no,no,
ccf-call-rejected-icon,wrapper,ban,HIGH,yes,yes,
ccf-call-resumed-icon,wrapper,phone,HIGH,yes,no,
ccf-call-ringing-icon,wrapper,phone-incoming,HIGH,yes,yes,
ccf-call-transfer-icon,wrapper,arrow-right-left,HIGH,yes,yes,
