ccf_icon_file,source,final_lucide_match,confidence,confidence_manually_set,icon_manually_picked,note
ccf-add-channel-icon,wrapper,image-plus,MEDIUM,no,no,
ccf-add-event-icon,wrapper,calendar-plus-2,HIGH,no,no,
ccf-add-note-icon,wrapper,sticky-note,MEDIUM,no,no,
ccf-address-book-icon,wrapper,book-up,MEDIUM,no,no,
ccf-agent-assist-icon,wrapper,handshake,LOW,no,no,
ccf-agent-chat-icon,wrapper,,CUSTOM,no,no,
ccf-agent-chat-search-icon,wrapper,search,HIGH,no,no,
ccf-agent-chat-standalone-icon,wrapper,,CUSTOM,no,no,
ccf-agent-copilot-icon,wrapper,,CUSTOM,no,no,
ccf-agent-icon,wrapper,headset,HIGH,no,no,
ccf-agent-leg-connected-icon,wrapper,link-2,MEDIUM,no,no,
ccf-agent-leg-dialing-icon,wrapper,link-2,MEDIUM,no,no,
ccf-agent-leg-disconnected-icon,wrapper,disc-2,MEDIUM,no,no,
ccf-alert-info-icon,wrapper,alert-circle,HIGH,no,no,
ccf-align-center-icon,wrapper,align-center,HIGH,no,no,
ccf-align-left-icon,wrapper,align-left,HIGH,no,no,
ccf-align-right-icon,wrapper,align-right,HIGH,no,no,
ccf-app-health-icon,wrapper,app-window,MEDIUM,no,no,
ccf-approved-icon,wrapper,check,HIGH,no,no,
ccf-assignement-box-icon,wrapper,inbox,HIGH,no,no,
ccf-assignment-collapse-icon,wrapper,chevron-left,HIGH,no,no,
ccf-attachment-preview-icon,wrapper,eye,HIGH,no,no,
ccf-audio-alert-icon,wrapper,alert-circle,HIGH,no,no,
ccf-audio-pause-icon,wrapper,pause-circle,HIGH,no,no,
ccf-audio-play-icon,wrapper,circle-play,HIGH,no,no,
ccf-audio-warning-icon,wrapper,triangle-alert,HIGH,no,no,
ccf-authenticated-voice-icon,wrapper,,CUSTOM,no,no,
ccf-available-icon,wrapper,circle-check,HIGH,no,no,
ccf-back-ground-color-icon,wrapper,baseline,MEDIUM,no,no,
ccf-back-icon,wrapper,chevron-left,HIGH,no,no,
ccf-bad-number-icon,wrapper,frown,MEDIUM,no,no,
ccf-brightness-icon,wrapper,blend,MEDIUM,no,no,
ccf-calendar-icon,wrapper,calendar,HIGH,no,no,
ccf-call-commit-icon,wrapper,calendar-plus-2,HIGH,no,no,
ccf-call-conference-icon,wrapper,phone-call,MEDIUM,no,no,
ccf-call-consult-icon,wrapper,user-round-plus,HIGH,no,no,
ccf-call-hold-icon,wrapper,pause,HIGH,no,no,
ccf-call-hung-up-icon,wrapper,phone-off,HIGH,no,no,
ccf-call-keypad-icon,wrapper,grip,HIGH,no,no,
ccf-call-mask-icon,wrapper,,CUSTOM,no,no,
ccf-call-merge-icon,wrapper,merge,HIGH,no,no,
ccf-call-mute-icon,wrapper,mic,HIGH,no,no,
ccf-call-record-icon,wrapper,disc-2,MEDIUM,no,no,
ccf-call-recording-icon,wrapper,phone-call,MEDIUM,no,no,
ccf-call-rejected-icon,wrapper,ban,HIGH,no,no,
ccf-call-resumed-icon,wrapper,phone,HIGH,no,no,
ccf-call-ringing-icon,wrapper,phone-incoming,HIGH,no,no,
ccf-call-transfer-icon,wrapper,arrow-right-left,HIGH,no,no,
ccf-call-unmask-icon,wrapper,audio-lines,HIGH,no,no,
ccf-callback-icon,wrapper,phone,HIGH,no,no,
ccf-chat-group-icon,wrapper,messages-square,HIGH,no,no,
ccf-chat-icon,wrapper,,CUSTOM,no,no,
ccf-chat-inbound,wrapper,,CUSTOM,no,no,
ccf-check-box-icon,wrapper,boom-box,MEDIUM,no,no,
ccf-check-box-outline-blank-icon,wrapper,boom-box,MEDIUM,no,no,
ccf-check-icon,wrapper,check,HIGH,no,no,
ccf-clip-overflow-icon,wrapper,ellipsis,HIGH,no,no,
ccf-clipboard-check-icon,wrapper,clipboard-check,HIGH,no,no,
ccf-close-icon,wrapper,x,HIGH,no,no,
ccf-coBrowse-icon,wrapper,picture-in-picture-2,HIGH,no,no,
ccf-collapse-panel-icon,wrapper,minimize-2,HIGH,no,no,
ccf-conference-agent-icon,wrapper,headset,HIGH,no,no,
ccf-conference-icon,wrapper,,CUSTOM,no,no,
ccf-conference-inbound-icon,wrapper,phone-incoming,HIGH,no,no,
ccf-conference-outbound-icon,wrapper,phone-outgoing,HIGH,no,no,
ccf-consult-context-conference-icon,wrapper,,CUSTOM,no,no,
ccf-consult-context-consult-icon,wrapper,,CUSTOM,no,no,
ccf-consult-icon,wrapper,user-round-plus,HIGH,no,no,
ccf-conversation-icon,wrapper,messages-square,HIGH,no,no,
ccf-conversation-outline-icon,wrapper,messages-square,HIGH,no,no,
ccf-copilot-add-participants-icon,wrapper,user-plus,MEDIUM,no,yes,
ccf-copilot-alert-icon,wrapper,triangle-alert,HIGH,no,no,
ccf-copilot-announce-icon,wrapper,megaphone,HIGH,no,no,
ccf-copilot-check-square-icon,wrapper,square-check,HIGH,no,no,
ccf-copilot-checklist-card-icon,wrapper,file-check-2,HIGH,no,no,
ccf-copilot-checklist-icon,wrapper,list-checks,HIGH,no,no,
ccf-copilot-checklist-note-icon,wrapper,sticky-note,HIGH,no,no,
ccf-copilot-checklist-tick-icon,wrapper,check,HIGH,no,no,
ccf-copilot-checkmark-icon,wrapper,circle-check-big,HIGH,no,no,
ccf-copilot-clear-textblock-icon,wrapper,x,HIGH,no,no,
ccf-copilot-clipboard-icon,wrapper,clipboard-type,HIGH,no,no,
ccf-copilot-close-icon,wrapper,x,HIGH,no,no,
ccf-copilot-clueless-icon,wrapper,meh,MEDIUM,no,no,
ccf-copilot-coffee-icon,wrapper,coffee,HIGH,no,no,
ccf-copilot-collapse-summary-icon,wrapper,minimize-2,HIGH,no,no,
ccf-copilot-customer-satisfaction-icon,wrapper,user-star,LOW,no,yes,
ccf-copilot-date-time-icon,wrapper,clock,HIGH,no,no,
